ts,requestId,platform,stage,action,selector,url,result,elapsedMs,counts_json,note
2026-02-18T22:02:59.265Z,4ad8c5e2-d738-4673-a92f-7fdf35d2b533,LINKEDIN,navigate,goto,,https://www.linkedin.com/messaging/,ok,461,{},navigate_inbox
2026-02-18T22:03:03.271Z,4ad8c5e2-d738-4673-a92f-7fdf35d2b533,LINKEDIN,navigate,wait_for_domcontentloaded,,,ok,4005,{},post_goto_domcontentloaded
2026-02-18T22:03:03.627Z,4ad8c5e2-d738-4673-a92f-7fdf35d2b533,LINKEDIN,navigate,wait_for_timeout,,,ok,355,{},post_navigation_settle
2026-02-18T22:03:11.351Z,4ad8c5e2-d738-4673-a92f-7fdf35d2b533,LINKEDIN,connect,wait_for_visible,ul.msg-conversations-container__conversations-list,,ok,7691,{},wait_thread_list_connected
2026-02-18T22:03:11.727Z,4ad8c5e2-d738-4673-a92f-7fdf35d2b533,LINKEDIN,connect,ensure_connected,,,ok,,{},
2026-02-18T22:03:12.298Z,4ad8c5e2-d738-4673-a92f-7fdf35d2b533,LINKEDIN,navigate,goto,,https://www.linkedin.com/messaging/,ok,492,{},navigate_inbox
2026-02-18T22:03:12.736Z,4ad8c5e2-d738-4673-a92f-7fdf35d2b533,LINKEDIN,navigate,wait_for_domcontentloaded,,,ok,437,{},post_goto_domcontentloaded
2026-02-18T22:03:13.088Z,4ad8c5e2-d738-4673-a92f-7fdf35d2b533,LINKEDIN,navigate,wait_for_timeout,,,ok,352,{},post_navigation_settle
2026-02-18T22:03:13.150Z,4ad8c5e2-d738-4673-a92f-7fdf35d2b533,LINKEDIN,collect_threads,locator_count,li.msg-conversation-listitem .msg-conversation-listitem__link,,ok,3,{},read_thread_item_count
2026-02-18T22:03:13.152Z,4ad8c5e2-d738-4673-a92f-7fdf35d2b533,LINKEDIN,collect_threads,locator_count,".msg-conversations-container__no-results, .msg-conversations-container__empty-state, .msg-conversations-container__empty-convos, [data-test-empty-state]",,ok,2,{},read_empty_state_count
2026-02-18T22:03:13.296Z,4ad8c5e2-d738-4673-a92f-7fdf35d2b533,LINKEDIN,collect_threads,wait_for_timeout,,,ok,144,{},thread_list_poll_wait
2026-02-18T22:03:13.307Z,4ad8c5e2-d738-4673-a92f-7fdf35d2b533,LINKEDIN,collect_threads,locator_count,li.msg-conversation-listitem .msg-conversation-listitem__link,,ok,3,{},read_thread_item_count
2026-02-18T22:03:13.310Z,4ad8c5e2-d738-4673-a92f-7fdf35d2b533,LINKEDIN,collect_threads,locator_count,".msg-conversations-container__no-results, .msg-conversations-container__empty-state, .msg-conversations-container__empty-convos, [data-test-empty-state]",,ok,3,{},read_empty_state_count
2026-02-18T22:03:13.455Z,4ad8c5e2-d738-4673-a92f-7fdf35d2b533,LINKEDIN,collect_threads,wait_for_timeout,,,ok,145,{},thread_list_poll_wait
2026-02-18T22:03:13.472Z,4ad8c5e2-d738-4673-a92f-7fdf35d2b533,LINKEDIN,collect_threads,locator_count,li.msg-conversation-listitem .msg-conversation-listitem__link,,ok,4,{},read_thread_item_count
2026-02-18T22:03:13.476Z,4ad8c5e2-d738-4673-a92f-7fdf35d2b533,LINKEDIN,collect_threads,locator_count,".msg-conversations-container__no-results, .msg-conversations-container__empty-state, .msg-conversations-container__empty-convos, [data-test-empty-state]",,ok,4,{},read_empty_state_count
2026-02-18T22:03:13.622Z,4ad8c5e2-d738-4673-a92f-7fdf35d2b533,LINKEDIN,collect_threads,wait_for_timeout,,,ok,146,{},thread_list_poll_wait
2026-02-18T22:03:13.641Z,4ad8c5e2-d738-4673-a92f-7fdf35d2b533,LINKEDIN,collect_threads,locator_count,li.msg-conversation-listitem .msg-conversation-listitem__link,,ok,3,{},read_thread_item_count
2026-02-18T22:03:13.645Z,4ad8c5e2-d738-4673-a92f-7fdf35d2b533,LINKEDIN,collect_threads,locator_count,".msg-conversations-container__no-results, .msg-conversations-container__empty-state, .msg-conversations-container__empty-convos, [data-test-empty-state]",,ok,3,{},read_empty_state_count
2026-02-18T22:03:13.961Z,4ad8c5e2-d738-4673-a92f-7fdf35d2b533,LINKEDIN,collect_threads,wait_for_timeout,,,ok,316,{},thread_list_poll_wait
2026-02-18T22:03:17.703Z,4ad8c5e2-d738-4673-a92f-7fdf35d2b533,LINKEDIN,collect_threads,locator_count,li.msg-conversation-listitem .msg-conversation-listitem__link,,ok,21,{},read_thread_item_count
2026-02-18T22:03:18.182Z,4ad8c5e2-d738-4673-a92f-7fdf35d2b533,LINKEDIN,unread_filter,click,button[data-test-messaging-inbox-filters__filter-pill='UNREAD'],,ok,211,{},activate_unread_pill
2026-02-18T22:03:18.269Z,4ad8c5e2-d738-4673-a92f-7fdf35d2b533,LINKEDIN,unread_filter,locator_count,li.msg-conversation-listitem .msg-conversation-listitem__link,,ok,10,{},settle_thread_count
2026-02-18T22:03:18.289Z,4ad8c5e2-d738-4673-a92f-7fdf35d2b533,LINKEDIN,unread_filter,locator_count,.msg-conversation-card__unread-count .notification-badge__count,,ok,20,{},settle_unread_badge_count
2026-02-18T22:03:18.296Z,4ad8c5e2-d738-4673-a92f-7fdf35d2b533,LINKEDIN,unread_filter,locator_count,".artdeco-loader, .artdeco-spinner, .msg-conversations-container__conversations-list-loader, .msg-conversations-container__loading, [aria-label*='Loading']",,ok,7,{},settle_spinner_count
2026-02-18T22:03:18.566Z,4ad8c5e2-d738-4673-a92f-7fdf35d2b533,LINKEDIN,unread_filter,wait_for_timeout,,,ok,264,{},settle_poll_wait
2026-02-18T22:03:18.699Z,4ad8c5e2-d738-4673-a92f-7fdf35d2b533,LINKEDIN,unread_filter,locator_count,li.msg-conversation-listitem .msg-conversation-listitem__link,,ok,131,{},settle_thread_count
2026-02-18T22:03:18.720Z,4ad8c5e2-d738-4673-a92f-7fdf35d2b533,LINKEDIN,unread_filter,locator_count,.msg-conversation-card__unread-count .notification-badge__count,,ok,19,{},settle_unread_badge_count
2026-02-18T22:03:18.735Z,4ad8c5e2-d738-4673-a92f-7fdf35d2b533,LINKEDIN,unread_filter,locator_count,".artdeco-loader, .artdeco-spinner, .msg-conversations-container__conversations-list-loader, .msg-conversations-container__loading, [aria-label*='Loading']",,ok,10,{},settle_spinner_count
2026-02-18T22:03:18.899Z,4ad8c5e2-d738-4673-a92f-7fdf35d2b533,LINKEDIN,unread_filter,wait_for_timeout,,,ok,157,{},settle_poll_wait
2026-02-18T22:03:18.912Z,4ad8c5e2-d738-4673-a92f-7fdf35d2b533,LINKEDIN,unread_filter,locator_count,li.msg-conversation-listitem .msg-conversation-listitem__link,,ok,13,{},settle_thread_count
2026-02-18T22:03:18.924Z,4ad8c5e2-d738-4673-a92f-7fdf35d2b533,LINKEDIN,unread_filter,locator_count,.msg-conversation-card__unread-count .notification-badge__count,,ok,12,{},settle_unread_badge_count
2026-02-18T22:03:18.935Z,4ad8c5e2-d738-4673-a92f-7fdf35d2b533,LINKEDIN,unread_filter,locator_count,".artdeco-loader, .artdeco-spinner, .msg-conversations-container__conversations-list-loader, .msg-conversations-container__loading, [aria-label*='Loading']",,ok,11,{},settle_spinner_count
2026-02-18T22:03:19.090Z,4ad8c5e2-d738-4673-a92f-7fdf35d2b533,LINKEDIN,unread_filter,wait_for_timeout,,,ok,148,{},settle_poll_wait
2026-02-18T22:03:19.096Z,4ad8c5e2-d738-4673-a92f-7fdf35d2b533,LINKEDIN,unread_filter,locator_count,li.msg-conversation-listitem .msg-conversation-listitem__link,,ok,6,{},settle_thread_count
2026-02-18T22:03:19.102Z,4ad8c5e2-d738-4673-a92f-7fdf35d2b533,LINKEDIN,unread_filter,locator_count,.msg-conversation-card__unread-count .notification-badge__count,,ok,6,{},settle_unread_badge_count
2026-02-18T22:03:19.109Z,4ad8c5e2-d738-4673-a92f-7fdf35d2b533,LINKEDIN,unread_filter,locator_count,".artdeco-loader, .artdeco-spinner, .msg-conversations-container__conversations-list-loader, .msg-conversations-container__loading, [aria-label*='Loading']",,ok,7,{},settle_spinner_count
2026-02-18T22:03:19.266Z,4ad8c5e2-d738-4673-a92f-7fdf35d2b533,LINKEDIN,unread_filter,wait_for_timeout,,,ok,150,{},settle_poll_wait
2026-02-18T22:03:19.274Z,4ad8c5e2-d738-4673-a92f-7fdf35d2b533,LINKEDIN,unread_filter,locator_count,li.msg-conversation-listitem .msg-conversation-listitem__link,,ok,7,{},settle_thread_count
2026-02-18T22:03:19.285Z,4ad8c5e2-d738-4673-a92f-7fdf35d2b533,LINKEDIN,unread_filter,locator_count,.msg-conversation-card__unread-count .notification-badge__count,,ok,11,{},settle_unread_badge_count
2026-02-18T22:03:19.292Z,4ad8c5e2-d738-4673-a92f-7fdf35d2b533,LINKEDIN,unread_filter,locator_count,".artdeco-loader, .artdeco-spinner, .msg-conversations-container__conversations-list-loader, .msg-conversations-container__loading, [aria-label*='Loading']",,ok,7,{},settle_spinner_count
2026-02-18T22:03:19.518Z,4ad8c5e2-d738-4673-a92f-7fdf35d2b533,LINKEDIN,unread_filter,wait_for_timeout,,,ok,220,{},settle_poll_wait
2026-02-18T22:03:19.541Z,4ad8c5e2-d738-4673-a92f-7fdf35d2b533,LINKEDIN,unread_filter,locator_count,li.msg-conversation-listitem .msg-conversation-listitem__link,,ok,22,{},settle_thread_count
2026-02-18T22:03:19.550Z,4ad8c5e2-d738-4673-a92f-7fdf35d2b533,LINKEDIN,unread_filter,locator_count,.msg-conversation-card__unread-count .notification-badge__count,,ok,9,{},settle_unread_badge_count
2026-02-18T22:03:19.558Z,4ad8c5e2-d738-4673-a92f-7fdf35d2b533,LINKEDIN,unread_filter,locator_count,".artdeco-loader, .artdeco-spinner, .msg-conversations-container__conversations-list-loader, .msg-conversations-container__loading, [aria-label*='Loading']",,ok,8,{},settle_spinner_count
2026-02-18T22:03:19.599Z,4ad8c5e2-d738-4673-a92f-7fdf35d2b533,LINKEDIN,collect_threads,locator_count,li.msg-conversation-listitem .msg-conversation-listitem__link,,ok,9,{},read_thread_item_count
2026-02-18T22:03:24.381Z,4ad8c5e2-d738-4673-a92f-7fdf35d2b533,LINKEDIN,collect_threads,scroll_into_view,,,ok,38,{},row_tail_scroll
2026-02-18T22:03:24.630Z,4ad8c5e2-d738-4673-a92f-7fdf35d2b533,LINKEDIN,collect_threads,scroll_container,ul.msg-conversations-container__conversations-list,,ok,249,{},primary_scroll
2026-02-18T22:03:25.345Z,4ad8c5e2-d738-4673-a92f-7fdf35d2b533,LINKEDIN,collect_threads,wait_for_timeout,,,ok,714,{},after_primary_scroll
2026-02-18T22:03:30.219Z,4ad8c5e2-d738-4673-a92f-7fdf35d2b533,LINKEDIN,collect_threads,scroll_container,ul.msg-conversations-container__conversations-list,,ok,34,{},secondary_scroll
2026-02-18T22:03:30.938Z,4ad8c5e2-d738-4673-a92f-7fdf35d2b533,LINKEDIN,collect_threads,wait_for_timeout,,,ok,719,{},after_secondary_scroll
2026-02-18T22:03:43.021Z,4ad8c5e2-d738-4673-a92f-7fdf35d2b533,LINKEDIN,collect_threads,wait_for_timeout,,,ok,736,{},post_scroll_wait
2026-02-18T22:03:53.851Z,4ad8c5e2-d738-4673-a92f-7fdf35d2b533,LINKEDIN,collect_threads,scroll_into_view,,,ok,42,{},row_tail_scroll
2026-02-18T22:03:54.137Z,4ad8c5e2-d738-4673-a92f-7fdf35d2b533,LINKEDIN,collect_threads,scroll_container,ul.msg-conversations-container__conversations-list,,ok,286,{},primary_scroll
2026-02-18T22:03:54.861Z,4ad8c5e2-d738-4673-a92f-7fdf35d2b533,LINKEDIN,collect_threads,wait_for_timeout,,,ok,723,{},after_primary_scroll
2026-02-18T22:04:07.958Z,4ad8c5e2-d738-4673-a92f-7fdf35d2b533,LINKEDIN,collect_threads,scroll_container,ul.msg-conversations-container__conversations-list,,ok,44,{},secondary_scroll
2026-02-18T22:04:08.702Z,4ad8c5e2-d738-4673-a92f-7fdf35d2b533,LINKEDIN,collect_threads,wait_for_timeout,,,ok,744,{},after_secondary_scroll
2026-02-18T22:04:31.396Z,4ad8c5e2-d738-4673-a92f-7fdf35d2b533,LINKEDIN,collect_threads,wait_for_timeout,,,ok,726,{},post_scroll_wait
2026-02-18T22:04:33.947Z,4ad8c5e2-d738-4673-a92f-7fdf35d2b533,LINKEDIN,collect_threads,scan_unread_threads,,,ok,,"{""unreadCandidatesCount"":19}",
2026-02-18T22:04:34.719Z,4ad8c5e2-d738-4673-a92f-7fdf35d2b533,LINKEDIN,navigate,goto,,https://www.linkedin.com/messaging/,ok,699,{},navigate_inbox
2026-02-18T22:04:35.285Z,4ad8c5e2-d738-4673-a92f-7fdf35d2b533,LINKEDIN,navigate,wait_for_domcontentloaded,,,ok,566,{},post_goto_domcontentloaded
2026-02-18T22:04:35.638Z,4ad8c5e2-d738-4673-a92f-7fdf35d2b533,LINKEDIN,navigate,wait_for_timeout,,,ok,353,{},post_navigation_settle
2026-02-18T22:04:37.541Z,4ad8c5e2-d738-4673-a92f-7fdf35d2b533,LINKEDIN,collect_threads,wait_for_visible,ul.msg-conversations-container__conversations-list,,ok,1875,{},wait_recent_thread_list
2026-02-18T22:04:37.719Z,4ad8c5e2-d738-4673-a92f-7fdf35d2b533,LINKEDIN,collect_threads,locator_count,li.msg-conversation-listitem .msg-conversation-listitem__link,,ok,27,{},read_thread_item_count
2026-02-18T22:04:38.976Z,4ad8c5e2-d738-4673-a92f-7fdf35d2b533,LINKEDIN,collect_threads,scroll_into_view,,,ok,99,{},row_tail_scroll
2026-02-18T22:04:38.978Z,4ad8c5e2-d738-4673-a92f-7fdf35d2b533,LINKEDIN,collect_threads,scroll_container,ul.msg-conversations-container__conversations-list,,error,0,{},primary_scroll
